;Assets $;Market value $;Revenues $;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;facebook;instagram;linkedin;pinterest;twitter;youtube;Flesh_Mesaure;Readability;Sentences;Unique words;Words;url;external;internal;total links;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time;pixels;Proft_%_Revenues
117;24,454;35,809;23,526;5,522;Northrop Grumman;TRUE;0;9;6;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;67.2;Standard;48;5;91;www.northropgrumman.com;0;29;29;0;0;1;0;0;0;4;2;0;7;0.056;2020658;-7.6
118;13,022;5,902;23,282;4,142;Arrow Electronics;TRUE;0;38;28;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;www.arrow.com;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;12.5
119;29,281;36,666;23,247;10,128;Raytheon;TRUE;1;0;0;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;55.6;Fairly difficult;159;84;518;www.raytheon.com;2;133;135;0;0;3;0;0;21;6;0;0;30;0.201;2715430;2.6
120;24,142;5,423;23,152;1,762;Plains GP Holdings;TRUE;0;11;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;34.7;Difficult;164;213;673;www.plainsallamerican.com;1;145;146;0;0;0;0;0;13;0;4;0;17;0.242;3464252;4.0
121;9,239;not available;23,128;1,873;US Foods Holding;TRUE;0;1;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;36.6;Difficult;1;0;1;www.usfoods.com;1;2;3;0;0;0;0;0;0;0;0;0;0;0.001;52119;1.8
122;53,05;92,405;22,859;3,945;AbbVie;TRUE;0;23;8;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;36.5;Difficult;299;176;905;www.abbvie.com;16;174;190;0;0;6;0;0;90;2;11;0;109;0.272;6757778;5.8
123;7,339;10,464;22,795;2,157;Centene;TRUE;1;0;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;61.1;Standard;82;57;370;www.centene.com;1;44;45;0;0;0;0;0;5;9;0;0;14;0.201;1719146;12.4
124;26,861;2,087;22,678;4,019;Community Health Systems;TRUE;1;0;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;29.9;Very Confusing;76;122;380;www.chs.net;0;85;85;0;0;0;0;0;7;3;0;0;10;0.177;2675027;24.3
125;36,528;12,596;22,534;12,046;Alcoa;TRUE;0;33;18;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;n/a;n/a;n/a;n/a;n/a;www.alcoa.com;0;218;218;0;0;0;0;0;14;25;0;0;39;0.411;5415217;4.8
126;30,587;16,874;22,365;3,884;International Paper;TRUE;0;31;8;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;38.4;Difficult;262;297;1392;www.internationalpaper.com;3;180;183;0;0;0;0;0;10;23;4;0;37;0.384;5258407;2.6
