Range;Company;site;loading.time
282;Precision Castparts;http://www.precast.com;0
283;Discover Financial Services;http://www.discoverfinancial.com;0
284;Liberty Interactive;http://www.libertyinteractive.com;0,001
285;W.W. Grainger;http://www.grainger.com;1,02
286;Baxter International;http://www.baxter.com;0,594
287;Stryker;http://www.stryker.com;0,944
288;Air Products & Chemicals;http://www.airproducts.com;0,317
289;Western Refining;http://www.wnr.com;0,235
290;Universal Health Services;http://www.uhsinc.com;0,359
291;Owens & Minor;http://www.owens-minor.com;2,191
292;Charter Communications;http://www.charter.com;0,423
293;Advance Auto Parts;http://www.advanceautoparts.com;0,166
294;MasterCard;http://www.mastercard.com;0,065
295;Applied Materials;http://www.appliedmaterials.com;0,016
296;Eastman Chemical;http://www.eastman.com;0,644
297;Sonic Automotive;http://www.sonicautomotive.com;0,707
298;Ally Financial;http://www.ally.com;0,105
299;CST Brands;http://www.cstbrands.com;0,431
300;eBay;http://www.ebay.com;1,544
301;Lennar;http://www.lennar.com;0,973
302;GameStop;http://www.gamestopcorp.com;0,028
303;Reliance Steel & Aluminum;http://www.rsac.com;1,093
304;Hormel Foods;http://www.hormelfoods.com;0,183
305;Celgene;http://www.celgene.com;1,247
306;Genworth Financial;http://www.genworth.com;0,524
308;Priceline Group;http://www.pricelinegroup.com;0,351
309;MGM Resorts International;http://www.mgmresorts.com;0,464
310;Autoliv;http://www.autoliv.com;0,69
312;Republic Services;http://www.republicservices.com;0,002
313;Corning;http://www.corning.com;0,073
314;Peter Kiewit Sons’;http://www.kiewit.com;0,302
315;Univar;http://www.univar.com;1,18
316;Mosaic;http://www.mosaicco.com;0,181
317;Core-Mark Holding;http://www.core-mark.com;0,242
318;Thrivent Financial for Lutherans;http://www.thrivent.com;0,362
319;Cameron International;http://www.c-a-m.com;0,097
320;HD Supply Holdings;http://www.hdsupply.com;0,016
321;Crown Holdings;http://www.crowncork.com;0,703
322;EOG Resources;http://www.eogresources.com;0,454
323;Veritiv;http://www.veritivcorp.com;0,236
324;Anadarko Petroleum;http://www.anadarko.com;0,535
325;Laboratory Corp. of America;http://www.labcorp.com;0,507
326;Pacific Life;http://www.pacificlife.com;0,245
328;Jarden;http://www.jarden.com;0,143
329;SunTrust Banks;http://www.suntrust.com;0,289
330;Avis Budget Group;http://www.avisbudgetgroup.com;0,187
331;Broadcom;http://www.broadcom.com;0,454
332;American Family Insurance Group;http://www.amfam.com;0,523
333;Level 3 Communications;http://www.level3.com;0,814
334;Tenneco;http://www.tenneco.com;0,452
335;United Natural Foods;http://www.unfi.com;0,687
336;Dean Foods;http://www.deanfoods.com;0,324
337;Campbell Soup;http://www.campbellsoupcompany.com;1,084
338;Mohawk Industries;http://www.mohawkind.com;0,517
339;BorgWarner;http://www.borgwarner.com;0,242
340;PVH;http://www.pvh.com;0,075
341;Ball;http://www.ball.com;0,499
342;O’Reilly Automotive;http://www.oreillyauto.com;0,566
343;Eversource Energy;http://www.eversource.com;0,129
344;Franklin Resources;http://www.franklinresources.com;0,059
345;Masco;http://www.masco.com;0,016
346;Lithia Motors;http://www.lithia.com;0,34
347;KKR;http://www.kkr.com;0,263
