range;company;facebook;twitter;instagram;pinterest;youtube
350;PPL;NO;YES;NO;NO;YES;
351;SpartanNash;NO;YES;NO;NO;NO;
352;Quanta Services;NO;NO;NO;NO;YES;
353;XPO Logistics;YES;YES;NO;NO;YES;
354;Ralph Lauren;YES;YES;NO;YES;NO;
355;Interpublic Group;YES;YES;NO;NO;NO;
356;Steel Dynamics;NO;NO;NO;NO;NO;
357;WESCO International;NO;NO;NO;NO;NO;
358;Quest Diagnostics;YES;YES;NO;NO;YES;
359;Boston Scientific;YES;YES;NO;NO;NO;
360;AGCO;YES;YES;YES;NO;YES;
361;Foot Locker;NO;NO;NO;NO;NO;
362;Hershey;YES;YES;YES;YES;YES;
363;CenterPoint Energy;NO;NO;NO;NO;NO;
365;Dick’s Sporting Goods;YES;YES;NO;YES;YES;
366;Live Nation Entertainment;YES;YES;YES;YES;YES;
367;Mutual of Omaha Insurance;YES;YES;NO;NO;NO;
368;W.R. Berkley;NO;YES;NO;NO;NO;
369;LKQ;YES;YES;YES;NO;NO;
370;Avon Products;NO;YES;NO;NO;NO;
371;Darden Restaurants;NO;YES;NO;NO;YES;
372;Kindred Healthcare;YES;YES;NO;YES;YES;
373;Weyerhaeuser;YES;YES;NO;NO;NO;
374;Casey’s General Stores;YES;YES;YES;NO;YES;
375;Sealed Air;YES;YES;NO;NO;YES;
376;Fifth Third Bancorp;YES;YES;NO;NO;YES;
377;Dover;NO;NO;NO;NO;YES;
378;Huntington Ingalls Industries;YES;YES;YES;YES;YES;
379;Netflix;YES;YES;NO;NO;NO;
380;Dillard’s;YES;YES;YES;YES;YES;
381;EMCOR Group;YES;NO;NO;NO;YES;
382;Jones Financial;YES;YES;NO;NO;YES;
383;AK Steel Holding;NO;NO;NO;NO;NO;
384;UGI;YES;YES;NO;NO;NO;
385;Expedia;NO;YES;NO;NO;YES;
386;salesforce.com;YES;YES;NO;NO;YES;
387;Targa Resources;NO;NO;NO;NO;NO;
388;Apache;NO;NO;NO;NO;NO;
389;Spirit AeroSystems Holdings;NO;YES;NO;NO;YES;
390;Expeditors International of Washington;YES;YES;NO;NO;NO;
391;Anixter International;YES;YES;NO;NO;YES;
392;Fidelity National Information Services;YES;YES;YES;NO;YES;
393;Asbury Automotive Group;YES;YES;NO;NO;NO;
394;Hess;YES;YES;NO;NO;YES;
395;Ryder System;YES;YES;YES;NO;YES;
396;Terex;NO;NO;NO;NO;NO;
397;Coca-Cola European Partners;NO;YES;NO;NO;YES;
399;Cablevision Systems;NO;NO;NO;NO;NO;
400;Symantec;YES;YES;NO;NO;YES;
401;Charles Schwab;YES;YES;NO;NO;YES;
402;Calpine;YES;YES;NO;NO;NO;
403;CMS Energy;NO;NO;NO;NO;NO;
404;Alliance Data Systems;YES;YES;NO;NO;YES;
405;JetBlue Airways;YES;YES;YES;NO;YES;
406;Discovery Communications;YES;YES;YES;NO;YES;
407;Trinity Industries;NO;NO;NO;NO;NO;
408;Sanmina;NO;NO;NO;NO;NO;
409;NCR;YES;YES;NO;NO;YES;
410;FMC Technologies;YES;YES;YES;NO;YES;
411;Erie Insurance Group;YES;YES;NO;NO;NO;
412;Rockwell Automation;YES;YES;NO;NO;YES;
413;Dr Pepper Snapple Group;YES;YES;NO;NO;YES;
414;iHeartMedia;YES;YES;NO;NO;NO;
