range;company;</title>;</html>;</body>;</div>;</span>;Correct
376;Fifth Third Bancorp;YES;NO;NO;NO;YES;NO
377;Dover;YES;YES;YES;NO;YES;NO
378;Huntington Ingalls Industries;YES;YES;YES;YES;YES;YES
379;Netflix;YES;YES;YES;YES;YES;YES
380;Dillard’s;YES;YES;YES;YES;YES;YES
381;EMCOR Group;YES;NO;YES;NO;YES;NO
382;Jones Financial;YES;NO;YES;YES;YES;NO
383;AK Steel Holding;YES;YES;YES;YES;YES;YES
384;UGI;YES;YES;YES;YES;YES;YES
385;Expedia;YES;YES;YES;NO;NO;NO
386;salesforce.com;YES;NO;YES;YES;YES;NO
387;Targa Resources;YES;YES;YES;YES;YES;YES
388;Apache;YES;YES;YES;YES;YES;YES
389;Spirit AeroSystems Holdings;YES;YES;YES;YES;YES;YES
390;Expeditors International of Washington;YES;YES;YES;YES;YES;YES
391;Anixter International;YES;NO;NO;NO;NO;NO
392;Fidelity National Information Services;YES;YES;YES;YES;YES;YES
393;Asbury Automotive Group;YES;YES;YES;YES;YES;YES
394;Hess;YES;NO;YES;NO;YES;NO
395;Ryder System;YES;YES;YES;YES;YES;YES
396;Terex;YES;YES;YES;YES;YES;YES
397;Coca-Cola European Partners;YES;YES;YES;YES;YES;YES
399;Cablevision Systems;YES;NO;YES;YES;YES;NO
400;Symantec;YES;YES;YES;YES;YES;YES
401;Charles Schwab;YES;NO;YES;YES;YES;NO
402;Calpine;YES;YES;YES;YES;YES;YES
403;CMS Energy;YES;YES;YES;NO;NO;NO
404;Alliance Data Systems;YES;NO;YES;YES;YES;NO
405;JetBlue Airways;YES;NO;YES;NO;YES;NO
406;Discovery Communications;YES;YES;YES;YES;YES;YES
407;Trinity Industries;YES;YES;YES;YES;YES;YES
408;Sanmina;YES;YES;YES;YES;YES;YES
409;NCR;YES;YES;YES;YES;YES;YES
410;FMC Technologies;YES;YES;YES;YES;YES;YES
411;Erie Insurance Group;YES;NO;YES;YES;YES;NO
412;Rockwell Automation;YES;YES;YES;YES;YES;YES
413;Dr Pepper Snapple Group;YES;NO;YES;YES;YES;NO
414;iHeartMedia;YES;YES;YES;YES;YES;YES
416;J.B. Hunt Transport Services;YES;YES;YES;YES;YES;YES
418;Owens-Illinois;YES;NO;YES;YES;YES;NO
419;Harman International Industries;YES;YES;YES;NO;NO;NO
420;Baxalta;YES;NO;YES;YES;YES;NO
421;American Financial Group;YES;YES;YES;YES;YES;YES
422;NetApp;NO;YES;YES;YES;YES;NO
423;Graybar Electric;YES;YES;YES;YES;YES;YES
424;Oshkosh;YES;YES;YES;YES;YES;YES
425;Ameren;YES;YES;YES;YES;YES;YES
426;A-Mark Precious Metals;YES;YES;YES;YES;YES;YES
427;Barnes & Noble;YES;YES;YES;YES;YES;YES
428;Dana Holding;YES;YES;YES;YES;YES;YES
429;Constellation Brands;YES;YES;YES;YES;YES;YES
430;LifePoint Health;YES;YES;YES;YES;YES;YES
431;Zimmer Biomet Holdings;YES;YES;YES;YES;YES;YES
432;Harley-Davidson;YES;NO;YES;NO;YES;NO
433;PulteGroup;YES;YES;YES;YES;YES;YES
