range;company;unique_words;
359;Boston Scientific;264;
360;AGCO;291;
361;Foot Locker;128;
362;Hershey;286;
363;CenterPoint Energy;205;
364;Williams;205;
365;Dick’s Sporting Goods;271;
366;Live Nation Entertainment;269;
367;Mutual of Omaha Insurance;418;
368;W.R. Berkley;160;
369;LKQ;618;
370;Avon Products;204;
371;Darden Restaurants;288;
372;Kindred Healthcare;363;
373;Weyerhaeuser;300;
374;Casey’s General Stores;256;
375;Sealed Air;304;
376;Fifth Third Bancorp;389;
377;Dover;249;
378;Huntington Ingalls Industries;220;
379;Netflix;669;
380;Dillard’s;247;
381;EMCOR Group;380;
382;Jones Financial;314;
383;AK Steel Holding;246;
384;UGI;330;
385;Expedia;362;
386;salesforce.com;332;
387;Targa Resources;95;
388;Apache;187;
389;Spirit AeroSystems Holdings;232;
390;Expeditors International of Washington;348;
391;Anixter International;582;
392;Fidelity National Information Services;626;
393;Asbury Automotive Group;208;
394;Hess;434;
395;Ryder System;453;
396;Terex;118;
397;Coca-Cola European Partners;324;
398;Auto-Owners Insurance;324;
399;Cablevision Systems;227;
400;Symantec;298;
401;Charles Schwab;434;
402;Calpine;468;
403;CMS Energy;503;
404;Alliance Data Systems;448;
405;JetBlue Airways;591;
406;Discovery Communications;382;
407;Trinity Industries;108;
408;Sanmina;26;
409;NCR;211;
410;FMC Technologies;257;
411;Erie Insurance Group;199;
412;Rockwell Automation;316;
413;Dr Pepper Snapple Group;284;
414;iHeartMedia;259;
415;Tractor Supply;259;
416;J.B. Hunt Transport Services;275;
417;Commercial Metals;275;
418;Owens-Illinois;66;
419;Harman International Industries;281;
420;Baxalta;247;
421;American Financial Group;237;
422;NetApp;311;
423;Graybar Electric;152;
424;Oshkosh;99;
425;Ameren;311;
426;A-Mark Precious Metals;288;
427;Barnes & Noble;112;
428;Dana Holding;176;
429;Constellation Brands;229;
430;LifePoint Health;248;
431;Zimmer Biomet Holdings;154;
432;Harley-Davidson;147;
433;PulteGroup;357;
434;Newell Brands;404;
435;Avery Dennison;413;
436;Jones Lang LaSalle;649;
437;WEC Energy Group;171;
438;Marathon Oil;231;
439;TravelCenters of America;127;
440;United Rentals;410;
441;HRG Group;145;
442;Old Republic International;145;
443;Windstream Holdings;997;
444;Starwood Hotels & Resorts;129;
445;Delek US Holdings;165;
446;Packaging Corp. of America;196;
447;Quintiles Transnational Holdings;402;
448;Hanesbrands;368;
449;Realogy Holdings;239;
450;Mattel;625;
451;Motorola Solutions;265;
452;J.M. Smucker;238;
453;Regions Financial;192;
454;Celanese;177;
455;Clorox;293;
456;Ingredion;186;
457;Genesis Healthcare;569;
458;Peabody Energy;354;
459;Alaska Air Group;336;
460;Seaboard;211;
461;Frontier Communications;325;
462;Amphenol;167;
463;Lansing Trade Group;274;
464;SanDisk;194;
465;St. Jude Medical;194;
466;Wyndham Worldwide;306;
467;Kelly Services;190;
468;Western Union;197;
469;Envision Healthcare Holdings;355;
470;Visteon;492;
471;Arthur J. Gallagher;219;
472;Host Hotels & Resorts;299;
473;Ashland;244;
474;Insight Enterprises;441;
475;Energy Future Holdings;353;
476;Markel;160;
477;Essendant;221;
478;CH2M Hill;235;
479;Western & Southern Financial Group;277;
480;Owens Corning;264;
481;S&P Global;195;
482;Raymond James Financial;239;
483;NiSource;199;
484;Airgas;228;
485;ABM Industries;274;
486;Citizens Financial Group;400;
487;Booz Allen Hamilton Holding;387;
488;Simon Property Group;267;
489;Domtar;215;
490;Rockwell Collins;210;
491;Lam Research;1042;
492;Fiserv;341;
493;Spectra Energy;263;
494;Navient;219;
495;Big Lots;247;
496;Telephone & Data Systems;298;
497;First American Financial;408;
498;NVR;193;
499;Cincinnati Financial;461;
500;Burlington Stores;451;
