range;Company;Site;Loading times;png;dib;jpg;jpeg;bmp;jpe;gif;tif;tiff;total_images;total_words;unique_words;totallinks;external_links;internal_links;</title>;</html>;</body>;</div>;</span>;Correct_html;facebook;twitter;instagram;pinterest;youtube;loading.time
476;Markel;www.markelcorp.com;0,517;19;0;3;0;0;0;1;1;0;24;447;160;157;5;152;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,517
477;Essendant;www.essendant.com;0,187;0;0;7;0;0;0;7;26;0;40;497;221;26;0;26;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,187
478;CH2M Hill;www.ch2m.com;0,157;1;0;12;0;0;0;0;0;0;13;533;235;70;3;67;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,157
479;Western & Southern Financial Group;www.westernsouthern.com;0,4;1;0;6;0;0;0;6;0;0;13;475;277;59;5;54;YES;NO;YES;NO;YES;NO;YES;YES;NO;NO;YES;0,4
480;Owens Corning;www.owenscorning.com;0,168;2;0;8;0;0;0;0;4;0;14;576;264;111;5;106;YES;NO;YES;YES;NO;NO;YES;YES;NO;NO;YES;0,168
481;S&P Global;www.spglobal.com;0,027;1;0;6;0;0;0;0;1;0;8;509;195;66;18;48;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,027
482;Raymond James Financial;www.raymondjames.com;0,671;3;0;13;0;0;0;0;0;0;16;586;239;134;2;132;YES;NO;YES;NO;YES;NO;YES;YES;NO;NO;NO;0,671
483;NiSource;www.nisource.com;0,137;13;0;9;0;0;0;2;0;0;24;363;199;29;3;26;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,137
484;Airgas;www.airgas.com;0,187;9;0;10;0;0;0;4;2;0;25;494;228;79;2;77;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;0,187
485;ABM Industries;www.abm.com;0,912;8;0;20;0;0;0;0;6;0;34;907;274;663;2;661;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,912
486;Citizens Financial Group;www.citizensbank.com;0,035;7;0;5;0;0;0;3;3;0;18;906;400;185;17;168;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,035
487;Booz Allen Hamilton Holding;www.boozallen.com;0,099;3;0;9;0;0;0;0;0;0;12;715;387;183;0;183;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;NO;0,099
488;Simon Property Group;www.simon.com;0,627;22;0;1;0;0;0;7;0;0;30;624;267;135;39;96;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;YES;0,627
489;Domtar;www.domtar.com;0,018;4;0;3;0;0;0;5;2;0;14;467;215;101;0;101;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO;0,018
490;Rockwell Collins;www.rockwellcollins.com;0,758;9;0;2;0;0;0;2;1;0;14;504;210;119;3;116;YES;YES;YES;YES;YES;YES;YES;YES;YES;NO;YES;0,758
491;Lam Research;www.lamresearch.com;1,323;12;0;15;0;0;0;1;1;0;29;1721;1042;250;8;242;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;1,323
492;Fiserv;www.fiserv.com;0,261;12;0;5;0;0;0;4;9;0;30;744;341;148;5;143;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;NO;0,261
493;Spectra Energy;www.spectraenergy.com;3,385;5;0;27;0;0;0;0;4;0;36;819;263;354;9;345;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;3,385
494;Navient;www.navient.com;0,36;6;0;6;0;0;0;0;0;0;12;486;219;100;14;86;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,36
495;Big Lots;www.biglots.com;0,946;11;0;75;0;0;0;1;3;0;90;815;247;326;11;315;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,946
496;Telephone & Data Systems;www.tdsinc.com;0,509;9;0;1;0;0;0;0;1;0;11;537;298;102;4;98;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,509
497;First American Financial;www.firstam.com;0,677;4;0;21;0;0;0;0;1;0;26;792;408;120;11;109;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,677
498;NVR;www.nvrinc.com;0,038;12;0;0;0;0;0;1;0;0;13;399;193;34;5;29;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,038
499;Cincinnati Financial;www.cinfin.com;0,597;9;0;7;0;0;0;0;9;0;25;802;461;78;3;75;YES;NO;YES;NO;YES;NO;YES;NO;NO;NO;NO;0,597
500;Burlington Stores;www.burlingtonstores.com;0,716;17;0;24;0;0;0;26;0;0;67;1015;451;140;16;124;YES;NO;NO;NO;YES;NO;YES;YES;YES;YES;YES;0,716
