range;Company;Site;Loading times;png;dib;jpg;jpeg;bmp;jpe;gif;tif;tiff;total_images;total_words;unique_words;totallinks;external_links;internal_links;</title>;</html>;</body>;</div>;</span>;Correct_html;facebook;twitter;instagram;pinterest;youtube;loading.time
132;Staples;www.staples.com;0,183;3;0;18;0;0;0;17;5;0;43;1334;317;724;7;717;YES;YES;NO;YES;YES;NO;YES;YES;NO;NO;YES;0,183
133;Danaher;www.danaher.com;0,182;5;0;29;0;0;0;0;0;0;34;433;225;97;0;97;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0,182
134;Whirlpool;www.whirlpoolcorp.com;0,333;12;0;16;0;0;0;1;0;0;29;724;394;102;10;92;YES;NO;YES;NO;YES;NO;NO;YES;NO;NO;YES;0,333
135;Aflac;www.aflac.com;0,071;15;0;4;0;0;0;0;4;0;23;405;196;43;8;35;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;YES;0,071
137;Progressive;www.progressive.com;0,029;4;0;0;0;0;0;3;2;0;9;767;354;210;103;107;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,029
138;Abbott Laboratories;www.abbott.com;0,162;16;0;129;0;0;0;2;21;0;168;1049;612;65;5;60;YES;NO;YES;YES;YES;NO;YES;YES;YES;NO;YES;0,162
139;Dollar General;www.dollargeneral.com;1,204;4;0;42;0;0;0;0;7;0;53;845;339;373;6;367;YES;NO;NO;YES;YES;NO;YES;YES;NO;YES;YES;1,204
141;Eli Lilly;www.lilly.com;0,012;9;1;19;0;0;0;4;0;0;33;636;343;139;14;125;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;YES;0,012
143;Penske Automotive Group;www.penskeautomotive.com;0,241;54;0;12;0;0;0;2;0;0;68;503;275;127;1;126;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,241
144;ManpowerGroup;www.manpowergroup.com;0,318;8;0;5;0;0;0;0;0;0;13;580;365;35;4;31;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;YES;0,318
145;Kohl’s;www.kohlscorporation.com;0,052;2;2;31;0;0;0;9;0;0;44;611;322;120;11;109;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,052
